Latitude,Longitude,Census_Tract,Value
37.9606497,-122.0474489,6013336201,14.2
37.9550364,-122.0446085,6013336202,34.4
37.9572014,-122.0148138,6013337100,0.7
37.9515216,-122.0267807,6013337200,12.1
37.9402165,-122.0080941,6013337300,6.1
37.9488733,-122.0425441,6013338101,17.8
37.9413456,-122.0423399,6013338102,5.9
37.9314923,-122.031045,6013338201,3.3
37.925633,-122.0540951,6013338203,6.4
37.9190883,-122.0467663,6013338204,4.8
37.9200316,-122.019661,6013338301,2.6
37.9067555,-122.0145836,6013338302,6.1
37.8918717,-122.0583635,6013339001,13.9
37.9062665,-122.0630149,6013339002,7.6
37.9232424,-122.0689417,6013340001,6.2
37.9107096,-122.0844254,6013340002,2.9
37.8874605,-122.0838023,6013341000,0.6
37.8931242,-122.0458632,6013343001,4.4
37.903197,-122.0394131,6013343002,7.5
37.8863578,-122.0291114,6013343003,2.5
37.7319234,-121.9386173,6013345101,3.4
37.7449639,-121.9480876,6013345102,3.0
37.738748,-121.9283939,6013345103,3.1
37.7966528,-121.9795982,6013345105,1.5
37.7784401,-121.9553576,6013345108,5.7
37.7570354,-121.9526849,6013345111,3.8
37.7614431,-121.9274296,6013345112,4.7
37.7955824,-121.9417988,6013345113,5.8
37.7992823,-121.9650943,6013345114,1.0
37.7393783,-121.9816307,6013345115,8.3
37.7642406,-121.9742883,6013345116,0.0
37.7679943,-121.982097,6013345202,3.7
37.8050946,-122.0221467,6013345203,0.0
37.8320573,-122.0429151,6013345204,0.6
37.8810018,-122.0070141,6013346101,4.5
37.8636653,-121.9836906,6013346102,3.3
37.8447107,-121.9759134,6013346201,0.7
37.8199841,-121.9862797,6013346203,0.7
37.8194966,-121.9506215,6013346204,0.6
37.9329608,-122.1209824,6013347000,0.0
37.9026902,-122.132124,6013348000,1.6
37.8896916,-122.10407,6013349000,4.3
37.879801,-122.1364828,6013350000,1.8
37.8531059,-122.0659799,6013351101,4.0
37.8725669,-122.0807769,6013351102,5.6
37.8644358,-122.0638053,6013351103,3.5
37.8682861,-122.1051075,6013351200,1.1
37.8450691,-122.0953355,6013352101,1.6
37.8173344,-122.1053062,6013352102,4.8
37.8529718,-122.1392991,6013352201,4.1
37.8296606,-122.1594575,6013352202,1.2
37.8566708,-122.1812338,6013353001,1.0
37.8795035,-122.1684192,6013353002,1.3
37.8838155,-122.216662,6013354001,0.0
37.9015621,-122.1826098,6013354002,4.6
37.9316982,-121.857135,6013355107,4.3
37.944738,-121.8014749,6013355108,3.0
37.9762527,-121.7940175,6013355109,8.7
37.967884,-121.7692731,6013355110,3.8
37.978244,-121.7753475,6013355111,2.7
37.8328349,-121.797346,6013355112,1.1
37.8065479,-121.9040691,6013355113,2.3
37.7872985,-121.9082293,6013355114,5.4
37.7631598,-121.9127563,6013355115,11.0
37.7733137,-121.8811647,6013355116,8.2
37.7460371,-121.8968502,6013355117,5.9
37.9987014,-121.9764323,6013355200,5.7
37.9368163,-121.9702207,6013355301,3.0
37.9210134,-121.9944596,6013355302,6.0
37.9505922,-121.9288441,6013355304,0.6
37.8934212,-121.9256511,6013355306,0.0
38.0244532,-122.22759,6013356001,4.4
37.9544588,-122.1903986,6013356002,4.3
38.0407401,-122.1962349,6013357000,1.5
38.0481856,-122.2538488,6013358000,3.5
38.0033732,-122.3071592,6013359102,5.1
38.0059174,-122.2975158,6013359103,5.6
38.0094814,-122.2781134,6013359104,4.7
38.0174202,-122.2874536,6013359105,3.2
37.9837578,-122.2510378,6013359202,1.4
38.0086578,-122.2562999,6013359203,4.5
38.0000841,-122.2654576,6013359204,10.2
37.9824969,-122.2870052,6013360101,3.9
37.9682566,-122.2658347,6013360102,0.0
37.9689098,-122.2944086,6013360200,8.7
37.9435402,-122.288182,6013361000,3.2
37.9457334,-122.3152847,6013362000,2.0
37.9788936,-122.3086599,6013363000,3.6
37.993894,-122.317385,6013364002,7.6
37.9594657,-122.3843954,6013365002,27.3
37.9821375,-122.3264034,6013365003,7.7
37.9760806,-122.345993,6013366001,24.2
37.9690044,-122.3509331,6013366002,19.9
37.970609,-122.3305065,6013367100,5.6
37.9659307,-122.3354534,6013367200,10.5
37.9542763,-122.3524853,6013368001,20.8
37.9610592,-122.3520845,6013368002,12.4
37.9566485,-122.3363969,6013369001,24.3
37.9586683,-122.323644,6013369002,11.4
37.93966,-122.322249,6013370000,8.8
37.9401338,-122.3299744,6013371000,15.7
37.9485499,-122.3399755,6013372000,17.4
37.9476192,-122.3538132,6013373000,10.8
37.9394176,-122.3414882,6013374000,14.2
37.9402568,-122.3518215,6013375000,17.5
37.9410164,-122.3624287,6013376000,15.8
37.9337832,-122.3629548,6013377000,11.4
37.9448245,-122.404809,6013378000,5.0
37.9283199,-122.3567421,6013379000,12.7
37.8969709,-122.3560521,6013380000,5.9
37.9302081,-122.3351024,6013381000,10.8
37.9159913,-122.3229975,6013382000,5.9
37.9090127,-122.3117391,6013383000,12.0
37.9340267,-122.3121629,6013384000,5.0
37.9242735,-122.2954872,6013385100,6.5
37.9274762,-122.3087345,6013385200,6.9
37.9226169,-122.3155835,6013386000,15.9
37.917033,-122.3059348,6013387000,13.2
37.9089588,-122.3022455,6013388000,3.5
37.902246,-122.2980802,6013389100,11.3
37.901071,-122.3052879,6013389200,4.6
37.9139392,-122.2934783,6013390100,1.4
37.9045535,-122.2911825,6013390200,5.5
37.90719,-122.284319,6013391000,3.9
37.9094178,-122.2748794,6013392000,1.6
37.9923334,-122.3542717,6013392200,10.5
38.0264084,-122.2744575,6013392300,4.6
41.7443155,-124.204051,6015000101,2.4
41.7597759,-124.1632913,6015000102,2.6
41.7755135,-124.1930607,6015000104,4.5
41.8023129,-124.2978888,6015000105,0.1
41.855037,-124.1653443,6015000201,0.0
41.7464666,-123.8644287,6015000202,0.6
41.5728126,-124.0350111,6015000203,0.0
38.8331487,-121.0317149,6017030601,0.0
38.9478957,-120.8675255,6017030602,0.6
38.8821468,-120.4220948,6017030603,0.0
38.737015,-121.0874235,6017030701,1.2
38.5829792,-120.9950293,6017030704,2.6
38.6722167,-121.086335,6017030706,0.7
38.6926348,-121.033171,6017030709,0.4
38.6825337,-121.0617481,6017030710,0.0
38.7325771,-121.010745,6017030801,2.8
